name,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,data
unknown,3.787082e+01,1.960258e-01,3.303503e+01,3.921934e+01,4.301771e+01,9.982674e+00,2.588911e+02,4.829326e+02,1.344625e+02,1.150382e+02,1.342849e+00,7.541631e-01,3.831816e-01,1.040458e+00,2.234284e+00,1.851102e+00,2.286063e+01,1.343676e+01,1.694504e+01,7.779046e+00,9.010609e-01,9.606714e-01,1.914015e+01,7.260042e-01,-1.112664e+01,-1.505730e+00,6.911827e-02,2.012848e+02,-2.304858e+01,-6.476147e-01,7.742309e-02,1.760447e+00,1.371327e+00,6.096073e-01,4.496762e+00,1.271951e+00,4.870055e+00,2.213967e+00,1.445556e+01,7.494329e-01,6.327806e+02,4.870768e-01,1.214276e+03,2.497639e-01,-5.037313e+01,-1.553358e+00,1.672140e+03,1.913203e-01,9.512642e+02,3.978025e-01,-4.096741e+01,-1.549084e+00,2.675843e+03,1.229712e-01,9.553399e+02,4.124057e-01,-4.432811e+01,-1.401815e+00,-9.107234e+00,-6.732122e-01,1.836290e+01,4.878771e-01,1.058145e-01,2.997789e-01,-2.750765e-02,-3.889745e-01,1.020840e+00,8.712690e-01,2.226141e+01,5.286214e-01,-1.425996e+01,-1.113798e+00,4.667739e-01,3.064046e+01,-2.601076e+01,-5.393919e-01,-2.537206e+00,8.603793e+00,8.109020e-02,-1.892666e-02,3.064213e-01,3.595891e+00,2.253033e+00,3.669231e-01,3.772244e-01,6.363636e-02,4.416348e-02,-2.292883e+01,?
unknown,3.485887e+01,1.082098e-01,3.295979e+01,3.497928e+01,3.766800e+01,4.708214e+00,2.115067e+02,2.111430e+02,2.041586e+02,3.557366e+02,5.935533e-01,5.930589e-01,2.901371e-01,5.186846e-01,8.479357e-01,5.577986e-01,5.628487e+00,3.507015e+00,6.180962e+00,5.497649e+00,3.058574e-01,8.548252e-01,2.737012e+01,4.250390e-01,-8.423147e+00,-1.517797e+00,-4.108635e+00,-3.463682e+00,-1.204610e+01,-8.457391e-01,4.861881e-02,1.461648e+00,1.371675e+00,5.922750e-01,4.171205e+00,1.364044e+00,6.959560e+00,1.900812e+00,2.410075e+01,5.112405e-01,7.231963e+02,3.234483e-01,1.332697e+03,1.630190e-01,-5.518969e+01,-1.475269e+00,1.734531e+03,1.457106e-01,1.106557e+03,2.971864e-01,-5.923808e+01,-1.233985e+00,2.782342e+03,1.273097e-01,9.691325e+02,3.971978e-01,-6.512543e+01,-1.077386e+00,-1.279330e+01,-5.552665e-01,2.374227e+01,3.846441e-01,1.116978e-01,2.455647e-01,-1.606064e-02,-5.776544e-01,3.605160e-01,7.231079e-01,3.076321e+01,3.174343e-01,-8.079865e+00,-1.596490e+00,-1.701813e+00,-8.452874e+00,-1.350690e+01,-7.261760e-01,-4.356743e+00,1.323260e+01,1.002911e-01,-4.728771e-03,1.339148e-01,2.884615e+00,2.904163e+00,2.530000e-01,2.466732e-01,8.076923e-02,1.353037e-01,-3.195350e+01,?
unknown,3.722298e+01,1.398008e-01,3.319224e+01,3.709459e+01,4.164473e+01,8.452492e+00,3.265441e+02,4.547988e+02,1.649316e+02,2.717371e+02,1.154561e+00,6.659822e-01,4.879239e-01,9.485155e-01,1.814616e+00,1.326692e+00,1.790681e+01,1.043198e+01,1.793466e+01,1.072665e+01,8.439699e-01,1.015681e+00,2.736187e+01,4.762673e-01,-1.457666e+01,-1.018147e+00,-6.845181e+00,-2.202570e+00,-2.080214e+01,-6.246573e-01,5.854638e-02,2.246856e+00,1.249197e+00,7.060845e-01,5.414602e+00,1.270869e+00,6.100563e+00,2.106939e+00,2.216595e+01,4.759184e-01,8.001859e+02,3.196898e-01,1.267203e+03,2.212352e-01,-2.840099e+01,-2.261122e+00,1.766062e+03,1.548875e-01,9.973306e+02,3.050428e-01,-3.226773e+01,-1.766258e+00,2.902532e+03,1.360004e-01,8.070325e+02,4.689103e-01,-4.215543e+01,-1.276963e+00,-1.046429e+01,-7.020035e-01,2.355292e+01,4.219660e-01,1.186644e-01,2.669881e-01,-1.408463e-02,-7.270960e-01,9.204470e-01,9.542555e-01,2.945800e+01,3.829881e-01,-1.493828e+01,-9.883655e-01,-6.169887e+00,-2.482125e+00,-2.218098e+01,-5.732118e-01,-3.062302e+00,1.111946e+01,1.130142e-01,-6.593110e-03,3.040680e-01,4.129794e+00,1.490313e+00,5.880000e-01,4.271487e-01,6.888889e-02,4.039924e-02,-2.297011e+01,?
unknown,3.167077e+01,1.862058e-01,2.542875e+01,3.282911e+01,3.662117e+01,1.119242e+01,3.461278e+02,4.006137e+02,1.768122e+02,2.945204e+02,7.225355e-01,5.705293e-01,3.518066e-01,6.030312e-01,1.062405e+00,7.105983e-01,8.299107e+00,4.992919e+00,5.715123e+00,4.548856e+00,3.801940e-01,8.174328e-01,2.898682e+01,4.603583e-01,-6.572358e+00,-2.002815e+00,1.982010e-01,7.603745e+01,-1.591353e+01,-7.332045e-01,7.002338e-02,1.545978e+00,1.488883e+00,7.007990e-01,3.509926e+00,1.638390e+00,2.046129e+00,6.149155e+00,2.167208e+01,6.628864e-01,6.901713e+02,3.511638e-01,1.334590e+03,1.958382e-01,-4.423840e+01,-1.735834e+00,1.718865e+03,1.560591e-01,1.027119e+03,3.747160e-01,-5.038067e+01,-1.387476e+00,2.766324e+03,1.179889e-01,1.038140e+03,3.427568e-01,-5.652741e+01,-1.188053e+00,-1.336885e+01,-4.647267e-01,2.369544e+01,3.787134e-01,9.951684e-02,3.598859e-01,-2.053575e-02,-5.375530e-01,4.294165e-01,7.404488e-01,3.300227e+01,2.792462e-01,-6.410370e+00,-1.959382e+00,2.593945e+00,5.665626e+00,-1.594652e+01,-7.407906e-01,-4.223309e+00,1.116644e+01,1.203804e-01,-1.164028e-02,1.907765e-01,2.762730e+00,2.824552e+00,2.728846e-01,3.938241e-01,7.947368e-02,7.333942e-02,-2.933836e+01,?
unknown,2.574754e+01,1.741399e-01,2.326958e+01,2.487645e+01,2.778085e+01,4.511269e+00,2.755270e+02,3.413019e+02,6.713366e+01,6.289469e+01,1.695907e+00,7.774664e-01,5.575494e-01,1.100782e+00,3.033946e+00,2.476396e+00,3.281581e+01,1.447429e+01,2.953332e+01,1.530401e+01,1.570147e+00,8.751575e-01,2.813498e+01,4.009376e-01,-3.850101e+00,-3.380076e+00,7.481116e+00,2.189248e+00,-4.649491e+00,-2.875227e+00,5.317775e-02,1.678753e+00,1.715605e+00,6.618411e-01,1.438900e+00,2.567141e+00,2.868612e+00,3.262749e+00,1.812995e+01,5.856647e-01,6.364751e+02,4.685076e-01,1.244117e+03,1.979301e-01,-4.788361e+01,-1.569835e+00,1.647213e+03,1.895826e-01,1.016958e+03,2.613194e-01,-4.967628e+01,-1.428291e+00,2.693533e+03,1.265100e-01,9.214102e+02,3.966781e-01,-5.478543e+01,-1.248940e+00,-1.069416e+01,-6.192304e-01,2.136102e+01,3.788759e-01,5.072182e-02,7.438697e-01,-1.700952e-02,-6.792797e-01,1.902584e+00,7.178166e-01,3.099293e+01,3.213134e-01,-5.460775e+00,-2.349735e+00,9.436185e+00,1.833771e+00,-4.536509e+00,-3.169738e+00,-8.036468e+00,1.661293e+01,5.767627e-02,-1.223370e-02,3.497498e-01,4.166667e+00,3.222342e+00,2.366666e-01,1.916652e-01,6.954546e-02,5.389192e-02,-1.837610e+01,?
unknown,2.643632e+01,1.985934e-01,2.377580e+01,2.562155e+01,2.810843e+01,4.332634e+00,2.403069e+02,2.874872e+02,2.629645e+02,4.404030e+02,1.879048e+00,7.631235e-01,6.330871e-01,1.245585e+00,3.378758e+00,2.745671e+00,3.481748e+01,1.961168e+01,2.800970e+01,1.172060e+01,1.678029e+00,8.862827e-01,2.636159e+01,4.290198e-01,-7.065801e+00,-1.823633e+00,8.251446e+00,1.819934e+00,-5.269329e+00,-2.478847e+00,4.836806e-02,1.652686e+00,1.496404e+00,6.354377e-01,1.620194e+00,2.237448e+00,2.895142e+00,3.220289e+00,1.649397e+01,5.789416e-01,7.071395e+02,4.440478e-01,1.187406e+03,2.070650e-01,-4.947318e+01,-1.521878e+00,1.720729e+03,1.790563e-01,9.707050e+02,2.773300e-01,-5.153794e+01,-1.375482e+00,2.773498e+03,1.270046e-01,8.222953e+02,3.479972e-01,-5.574701e+01,-1.236661e+00,-9.254510e+00,-6.488590e-01,1.973465e+01,3.444957e-01,5.532965e-02,6.693475e-01,-1.523952e-02,-6.730926e-01,2.015319e+00,7.429644e-01,2.950949e+01,3.025899e-01,-8.733872e+00,-1.446110e+00,1.033120e+01,1.527677e+00,-4.477442e+00,-3.161553e+00,-5.928209e+00,1.437497e+01,7.029413e-02,-1.191056e-02,5.439233e-01,4.130435e+00,3.829322e+00,1.945714e-01,1.831369e-01,5.344827e-02,3.574583e-02,-1.785654e+01,?
unknown,3.474610e+01,1.849554e-01,3.206986e+01,3.473308e+01,3.860753e+01,6.537670e+00,3.038820e+02,2.848069e+02,2.763775e+02,4.756269e+02,9.552238e-01,6.838500e-01,4.008561e-01,8.186905e-01,1.387447e+00,9.865906e-01,1.210212e+01,1.140768e+01,1.127350e+01,6.119988e+00,5.588242e-01,1.105818e+00,2.001184e+01,7.673280e-01,-6.924973e+00,-2.028621e+00,1.855390e+00,9.000121e+00,-1.825127e+01,-6.808767e-01,5.100422e-02,1.936864e+00,1.481940e+00,6.902143e-01,4.017420e+00,1.545143e+00,6.238365e+00,1.519245e+00,2.118533e+01,6.081730e-01,6.630948e+02,4.593515e-01,1.212107e+03,2.510760e-01,-7.447168e+01,-1.206496e+00,1.736730e+03,1.573755e-01,9.142525e+02,4.433349e-01,-7.173265e+01,-1.131845e+00,2.773329e+03,1.249912e-01,1.035631e+03,5.007091e-01,-7.519686e+01,-1.049662e+00,-9.739587e+00,-8.164362e-01,1.880244e+01,5.708758e-01,1.128988e-01,2.543993e-01,-1.913984e-02,-5.978459e-01,5.803437e-01,6.973801e-01,2.447659e+01,5.737809e-01,-6.816432e+00,-2.043957e+00,4.411005e+00,4.154226e+00,-1.968308e+01,-6.173179e-01,-2.390571e+00,9.915031e+00,1.050622e-01,-9.541981e-03,5.202518e-01,2.995008e+00,3.598326e+00,1.809302e-01,2.395617e-01,8.149999e-02,4.682681e-02,-2.705556e+01,?
unknown,3.078176e+01,2.798409e-01,2.069257e+01,3.427484e+01,3.816421e+01,1.747164e+01,3.383997e+02,2.963128e+02,1.876184e+02,1.376671e+02,1.616523e+00,5.500905e-01,9.259080e-01,1.357275e+00,2.085054e+00,1.159146e+00,1.847679e+01,1.644340e+01,1.455343e+01,8.848926e+00,1.529657e+00,7.335805e-01,2.879789e+01,2.706121e-01,-7.491362e+00,-1.249549e+00,1.461723e+01,8.665398e-01,-2.088158e+01,-5.396539e-01,8.993717e-02,1.623343e+00,1.543196e+00,5.731016e-01,1.905305e+00,3.114886e+00,6.052754e+00,2.682034e+00,1.921041e+01,6.927422e-01,5.642219e+02,3.896484e-01,1.267443e+03,2.069715e-01,-5.888734e+01,-1.385805e+00,1.640570e+03,1.406505e-01,9.649119e+02,4.228027e-01,-6.164029e+01,-1.175144e+00,2.702294e+03,9.861038e-02,9.162682e+02,5.386544e-01,-6.518955e+01,-1.079963e+00,-1.333943e+01,-4.849890e-01,2.214771e+01,3.317665e-01,6.146246e-02,7.195559e-01,-2.391689e-02,-4.035681e-01,1.751665e+00,6.658630e-01,3.034376e+01,2.228134e-01,-6.880434e+00,-1.445892e+00,1.574046e+01,8.564435e-01,-2.186390e+01,-5.542608e-01,-8.211890e+00,1.618600e+01,5.259891e-02,-1.768517e-02,8.698213e-01,2.705882e+00,3.914591e+00,1.836364e-01,1.966048e-01,5.827586e-02,3.494518e-02,-1.908157e+01,?
unknown,3.148193e+01,1.703521e-01,2.951217e+01,3.280377e+01,3.527521e+01,5.763037e+00,2.332407e+02,2.837680e+02,1.735808e+02,2.779995e+02,2.072323e+00,6.036816e-01,1.125468e+00,1.548632e+00,3.147397e+00,2.021929e+00,2.760942e+01,1.682066e+01,2.228462e+01,1.737569e+01,1.372118e+00,7.301870e-01,2.101731e+01,3.456064e-01,-1.192627e+00,-8.369145e+00,-1.079381e+00,-1.314188e+01,-1.600433e+01,-9.287271e-01,4.363986e-02,2.074819e+00,1.189010e+00,6.573692e-01,3.671914e+00,1.404637e+00,1.813398e+00,5.320618e+00,1.776683e+01,5.046589e-01,5.404630e+02,4.309172e-01,1.214319e+03,1.989947e-01,-7.211985e+01,-1.251870e+00,1.586220e+03,1.778340e-01,8.702950e+02,4.273358e-01,-7.045267e+01,-1.183002e+00,2.773398e+03,9.531289e-02,7.239929e+02,6.552453e-01,-7.475312e+01,-1.077297e+00,-8.415271e+00,-5.357740e-01,1.861810e+01,3.633184e-01,7.067716e-02,3.977987e-01,-1.861210e-02,-4.274603e-01,1.656700e+00,6.431187e-01,2.283645e+01,3.015863e-01,-2.797107e+00,-3.664946e+00,1.771786e+00,8.644060e+00,-2.060823e+01,-7.330915e-01,-7.884371e+00,1.738415e+01,5.574969e-02,-1.430605e-02,7.588603e-01,2.684564e+00,2.916433e+00,2.257692e-01,2.428544e-01,1.106667e-01,1.047622e-01,-1.989452e+01,?
unknown,3.342290e+01,2.183259e-01,2.790808e+01,3.541698e+01,3.818716e+01,1.027908e+01,2.712738e+02,4.439574e+02,3.241569e+02,5.559109e+02,1.540185e+00,7.137966e-01,5.892195e-01,1.208207e+00,2.406878e+00,1.817658e+00,2.694657e+01,2.530565e+01,2.468220e+01,1.554897e+01,1.367164e+00,9.460158e-01,2.802755e+01,4.017659e-01,-9.704869e+00,-1.292130e+00,1.726816e+01,9.594496e-01,-2.339701e+01,-5.586187e-01,7.124012e-02,1.833840e+00,1.384036e+00,6.078104e-01,3.717796e+00,1.385269e+00,4.663733e+00,3.832476e+00,1.699543e+01,1.010510e+00,5.950997e+02,4.161915e-01,1.230509e+03,2.282572e-01,-6.647880e+01,-1.291701e+00,1.697168e+03,1.526329e-01,8.477501e+02,4.521584e-01,-6.351562e+01,-1.178767e+00,2.749398e+03,1.014331e-01,9.579953e+02,4.897979e-01,-6.595885e+01,-1.113194e+00,-1.133498e+01,-5.987957e-01,1.990182e+01,4.402193e-01,8.139222e-02,3.663688e-01,-2.303794e-02,-4.858214e-01,1.671925e+00,8.160017e-01,3.044838e+01,3.209927e-01,-1.030375e+01,-1.268247e+00,1.850854e+01,9.967246e-01,-2.525506e+01,-5.472106e-01,-6.949818e+00,1.351278e+01,5.686938e-02,-1.663252e-02,5.233044e-01,3.168317e+00,3.585657e+00,1.966667e-01,1.737815e-01,6.529412e-02,4.319827e-02,-1.952123e+01,?
